,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
48255,Texas,Karnes,78.6,77.1,80.1,,77.3,80.1,178,380,323,436,,445,325,,,,,,,,,,,,,,,13,13,13,11,11,12,9,7,12,32,246,2020,14,1580,11,,,27,26,17,37,34,33,35,1294,18,16,21,311,9,7,12,20,5062:1,31,48708,42998,54418,38507,47788,61811,62,47,23,,,,,,,,3200,74,70,79,316,8,5,11,15187,20.7,14.2,1303,8.6,152,1.0,68,0.4,6,0.0,8196,54.0,5525,36.4,917,6,4,9,40.7,5691,38.4
48257,Texas,Kaufman,77.2,76.7,77.7,75.9,86.5,76.5,1485,395,374,415,487,228,415,55,43,32,56,,,,59,6,4,7,,,,11,10,11,11,11,11,10,7,14,177,193,17660,16,4133,4,42,12,146,19,16,22,32,31,33,15209,22,19,24,3153,9,7,11,37,2671:1,5,65942,60602,71282,46713,49820,69630,48,35,25,4,3,6,78,14,11,17,28175,77,75,79,3817,11,9,12,122883,27.6,11.9,13644,11.1,1212,1.0,1641,1.3,109,0.1,26334,21.4,78808,64.1,3934,4,3,4,50.7,50453,48.8
48259,Texas,Kendall,80.9,80.0,81.8,,82.0,80.5,385,243,217,269,,204,260,23,59,38,89,,90,43,,,,,,,,9,9,9,10,9,10,9,7,13,37,108,4610,12,644,2,,,47,17,13,23,30,29,31,3847,16,14,18,1016,10,7,12,86,1159:1,,89637,78193,101081,69211,65870,85732,24,40,35,4,2,7,28,14,9,20,9975,73,70,75,1695,13,10,15,44026,23.4,18.7,465,1.1,320,0.7,567,1.3,41,0.1,10631,24.1,31686,72.0,726,2,1,3,51.0,19431,58.2
48261,Texas,Kenedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,12,12,13,11,7,15,,,70,13,237,57,,,,,,,33,32,34,56,25,21,28,13,11,7,15,0,417:0,,38031,32899,43163,,,,68,,,,,,,,,,43,28,13,43,4,5,0,75,417,27.3,18.2,9,2.2,7,1.7,3,0.7,0,0.0,310,74.3,87,20.9,185,35,6,65,48.9,416,100.0
48263,Texas,Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,11,12,9,17,,,100,15,292,36,,,,,,,28,27,29,85,22,19,25,23,15,10,20,0,763:0,,45330,39374,51286,,,,32,,,,,,,,,,202,73,63,84,28,11,0,36,763,21.0,26.2,10,1.3,12,1.6,0,0.0,1,0.1,152,19.9,577,75.6,6,1,0,10,50.7,808,100.0
48265,Texas,Kerr,78.2,77.3,79.0,,81.1,77.4,814,378,349,407,,308,409,25,63,41,93,,,,,,,,,,,12,11,12,12,11,12,14,10,18,52,118,7630,15,6364,13,24,16,58,16,12,21,29,28,30,6303,24,21,27,1087,11,8,13,75,1326:1,,49748,44316,55180,27931,41058,51360,59,51,25,5,3,8,48,19,14,25,14660,71,69,74,2009,10,8,12,51720,19.3,27.4,742,1.4,607,1.2,539,1.0,54,0.1,13882,26.8,35760,69.1,1185,2,1,4,51.8,20397,41.1
48267,Texas,Kimble,78.4,75.1,81.6,,,,64,367,271,487,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,12,9,17,,,700,16,354,8,,,,,,,30,29,31,602,26,22,29,113,13,9,17,91,1103:1,,41081,35923,46239,,31884,41731,69,,5,,,,,,,,1458,75,71,79,207,11,6,17,4410,18.2,29.1,20,0.5,57,1.3,36,0.8,4,0.1,1084,24.6,3221,73.0,91,2,0,4,50.8,2041,44.3
48269,Texas,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,11,11,10,11,11,8,16,,,40,16,76,27,,,,,,,30,29,31,38,24,20,28,12,14,10,18,0,296:0,,56346,49453,63239,,,,0,,,,,,,,,,20,20,8,32,1,2,0,100,296,27.7,17.2,0,0.0,4,1.4,0,0.0,0,0.0,54,18.2,234,79.1,5,2,0,24,51.0,286,100.0
48271,Texas,Kinney,81.4,78.1,84.8,,,,40,305,213,425,,,,,,,,,,,,,,,,,,14,14,15,12,12,13,11,8,15,8,260,350,10,82,2,,,,,,,32,31,33,420,24,21,28,78,11,8,15,27,3745:1,,42650,36965,48335,,51719,31557,56,,,,,,,,,,928,77,68,87,63,5,0,12,3745,19.5,24.0,40,1.1,56,1.5,15,0.4,8,0.2,2230,59.5,1391,37.1,348,10,6,14,44.4,736,20.5
48273,Texas,Kleberg,76.0,74.9,77.1,,76.2,74.4,408,478,431,526,,466,542,15,49,27,80,,,,,,,,,,,14,14,15,12,12,12,9,6,13,27,104,3900,12,5334,17,,,27,12,8,18,33,32,34,4771,26,23,30,745,9,7,12,42,2391:1,,41257,36070,46444,,40460,54712,65,35,14,5,3,9,,,,,5808,53,50,56,1473,14,11,18,31088,24.5,12.9,1092,3.5,278,0.9,719,2.3,55,0.2,22660,72.9,6321,20.3,840,3,2,4,48.9,6050,18.9
48275,Texas,Knox,74.2,71.5,76.9,,,,72,564,433,722,,,,,,,,,,,,,,,,,,12,12,12,12,11,12,12,8,16,,,530,14,783,21,,,,,,,31,30,32,534,27,23,30,152,15,10,19,162,618:1,,37749,32977,42521,22000,42833,49848,62,31,20,,,,,,,,1110,81,78,83,69,5,1,10,3710,26.7,20.0,186,5.0,47,1.3,11,0.3,1,0.0,1284,34.6,2156,58.1,196,6,3,9,50.3,3719,100.0
48277,Texas,Lamar,75.1,74.3,75.9,71.8,,75.0,914,499,465,533,693,,491,29,61,41,88,,,,32,7,5,10,,,,12,12,13,13,12,13,13,11,15,58,141,10730,22,6141,12,17,11,75,22,17,27,34,33,35,6605,23,21,26,1334,11,8,14,83,1209:1,9,47212,43993,50431,27287,45710,46096,62,48,33,6,4,9,34,14,10,19,12273,64,61,67,2385,13,11,15,49587,23.9,19.0,6412,12.9,871,1.8,405,0.8,24,0.0,3899,7.9,36904,74.4,533,1,1,2,51.8,23444,47.1
48279,Texas,Lamb,77.0,75.5,78.5,,78.6,76.6,177,424,360,488,,414,430,,,,,,,,,,,,,,,15,14,15,13,13,13,11,8,15,15,141,1790,13,219,2,,,27,28,19,41,32,31,33,2174,30,26,33,519,14,10,17,45,2202:1,,41099,35977,46221,37672,38455,48228,72,32,12,,,,,,,,3399,71,67,75,247,6,3,9,13210,28.0,16.4,480,3.6,232,1.8,58,0.4,13,0.1,7404,56.0,5130,38.8,777,6,5,8,50.4,8063,57.7
48281,Texas,Lampasas,78.7,77.4,80.0,,82.8,78.2,279,357,313,401,,357,366,,,,,,,,,,,,,,,11,10,11,11,11,11,10,7,13,15,87,3190,16,1694,9,,,41,29,21,39,30,29,31,2657,22,19,25,633,13,9,16,38,2628:1,,55759,49818,61700,97109,42096,54716,53,48,25,,,,17,17,10,27,5758,74,71,78,857,11,8,15,21027,22.9,19.0,740,3.5,259,1.2,287,1.4,71,0.3,4213,20.0,15132,72.0,165,1,0,2,50.9,13433,68.3
48283,Texas,La Salle,77.0,74.8,79.3,,,,92,417,335,514,,,,,,,,,,,,,,,,,,15,14,15,12,12,12,8,6,11,13,201,360,5,2685,39,,,10,19,9,36,33,31,35,712,21,18,24,132,8,6,11,105,948:1,,41518,36427,46609,,35011,62607,86,,,,,,,,,,1607,70,61,80,262,13,4,23,7584,20.2,13.6,43,0.6,57,0.8,28,0.4,2,0.0,6555,86.4,910,12.0,712,10,6,15,40.8,3192,46.4
48285,Texas,Lavaca,78.5,77.3,79.7,,89.4,77.9,289,362,317,407,548,,379,11,59,29,105,,,,,,,,,,,10,10,11,11,10,11,12,8,16,15,91,2990,15,729,4,,,42,30,22,41,30,29,31,2047,19,17,22,616,13,10,16,50,2006:1,,51191,45555,56827,23424,46875,56970,38,35,30,,,,14,14,8,24,5801,75,73,78,486,7,4,9,20062,23.7,23.1,1205,6.0,127,0.6,102,0.5,17,0.1,3776,18.8,14746,73.5,459,2,2,3,51.0,15664,81.3
48287,Texas,Lee,77.8,76.4,79.2,73.8,81.8,77.6,229,368,318,419,597,299,366,10,66,32,122,,,,,,,,,,,11,10,11,11,11,11,12,8,16,21,147,2630,16,345,2,,,38,32,23,44,31,30,32,2138,21,19,24,432,11,8,14,17,5728:1,,54164,47799,60529,29821,45901,60142,63,42,33,,,,,,,,4739,77,73,81,732,13,9,17,17183,22.1,18.0,1838,10.7,184,1.1,97,0.6,37,0.2,4029,23.4,10900,63.4,505,3,1,5,49.5,11582,69.7
48289,Texas,Leon,76.1,74.5,77.7,,102.5,75.2,328,492,433,551,641,,512,,,,,,,,,,,,,,,12,11,12,12,11,12,13,10,18,23,161,3080,18,774,5,11,21,45,38,28,51,30,29,31,2365,26,23,29,638,16,12,19,23,4311:1,,43189,37935,48443,27449,31094,50342,57,23,18,,,,14,16,9,28,4897,78,75,82,533,9,6,12,17243,22.7,23.9,1189,6.9,156,0.9,127,0.7,3,0.0,2509,14.6,13127,76.1,581,4,3,5,50.2,16801,100.0
48291,Texas,Liberty,74.1,73.5,74.7,73.5,89.7,72.9,1423,521,493,548,563,283,571,64,78,60,99,,68,89,54,7,5,9,,,,12,11,12,12,12,12,11,8,15,275,422,14670,19,5797,8,33,13,172,31,27,36,33,32,34,11357,25,22,28,2450,11,8,14,41,2461:1,9,50420,44559,56281,38438,42071,52077,65,47,26,4,3,7,57,14,11,19,19440,75,73,77,2794,11,9,13,83658,26.0,12.8,8093,9.7,916,1.1,541,0.6,73,0.1,20732,24.8,52989,63.3,2920,4,3,5,50.5,47827,63.2
48293,Texas,Limestone,76.2,75.0,77.4,73.9,83.1,75.1,393,460,412,508,571,287,490,,,,,,,,,,,,,,,13,13,13,12,12,13,12,9,16,26,133,4740,20,1982,8,,,41,25,18,34,33,32,34,3101,25,22,27,641,12,9,15,55,1810:1,17,41434,37142,45726,26423,37121,45900,72,36,30,,,,20,17,10,26,6109,75,73,77,888,11,9,14,23527,22.8,18.9,3977,16.9,275,1.2,166,0.7,19,0.1,5265,22.4,13710,58.3,1302,6,5,7,48.2,12538,53.6
48295,Texas,Lipscomb,81.4,76.8,86.0,,,,42,354,253,482,,,,,,,,,,,,,,,,,,10,10,11,10,10,11,10,7,13,,,440,13,931,28,,,,,,,31,30,32,529,26,23,30,200,20,15,25,30,3378:1,,54091,47079,61103,,50893,61625,65,,14,,,,,,,,935,73,69,78,81,7,2,12,3378,26.5,17.4,26,0.8,72,2.1,23,0.7,6,0.2,1136,33.6,2094,62.0,117,4,1,6,48.2,3302,100.0
48297,Texas,Live Oak,77.5,75.8,79.2,,79.7,75.7,173,401,338,464,,336,477,,,,,,,,,,,,,,,11,11,12,11,11,11,11,8,15,14,134,1580,13,424,4,,,28,34,22,48,31,30,32,1348,22,19,25,347,14,10,17,41,2435:1,,50430,44116,56744,,30990,55875,60,,40,,,,19,31,19,49,2959,83,70,95,217,6,3,10,12174,20.2,20.3,509,4.2,150,1.2,78,0.6,9,0.1,4872,40.0,6554,53.8,683,6,,,45.6,11531,100.0
48299,Texas,Llano,78.9,77.5,80.3,,86.7,78.4,389,406,355,456,,,,,,,,,,,,,,,,,,11,11,12,12,11,12,13,9,17,23,130,3260,17,2667,14,10,16,27,19,13,28,29,27,30,2165,21,19,24,437,13,10,17,42,2357:1,,51078,44775,57381,,38636,50530,65,82,46,,,,12,12,6,21,6647,77,74,79,987,12,9,15,21210,15.5,35.6,214,1.0,207,1.0,127,0.6,8,0.0,2259,10.7,18266,86.1,461,2,1,4,51.7,8720,45.2
48301,Texas,Loving,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,12,12,11,12,10,7,13,,,10,19,41,51,,,,,,,33,31,34,12,21,17,25,10,21,16,26,0,134:0,,65203,56222,74184,,,,,,,,,,,,,,16,52,21,82,,,,,134,34.3,9.0,5,3.7,1,0.7,0,0.0,0,0.0,26,19.4,102,76.1,3,4,0,85,46.3,82,100.0
48303,Texas,Lubbock,76.9,76.5,77.2,71.7,77.4,77.4,3682,432,418,446,689,430,406,137,47,39,55,67,53,35,128,4,4,5,10,5,3,12,11,12,12,11,12,8,7,11,446,181,47680,16,22737,8,112,12,299,15,13,16,34,33,35,33644,18,16,20,6594,9,7,11,133,754:1,5,47460,43881,51039,32522,40658,55815,57,44,28,5,4,6,171,12,10,13,61694,56,55,57,17567,17,16,18,305225,24.1,12.2,21486,7.0,3370,1.1,7281,2.4,412,0.1,108383,35.5,163389,53.5,5259,2,2,2,50.7,31607,11.3
48305,Texas,Lynn,76.1,73.5,78.7,,85.8,77.2,84,448,355,559,,508,387,,,,,,,,,,,,,,,13,13,13,12,12,12,11,7,15,,,700,12,892,15,,,14,35,19,58,33,32,33,797,25,22,28,182,12,8,15,34,2930:1,,44567,39237,49897,,26800,56111,57,,14,,,,,,,,1475,69,64,74,179,10,5,14,5859,26.5,17.3,111,1.9,107,1.8,29,0.5,1,0.0,2777,47.4,2886,49.3,198,4,2,6,48.8,3355,56.7
48307,Texas,McCulloch,77.2,75.1,79.3,,78.2,77.5,150,444,367,520,,398,451,,,,,,,,,,,,,,,13,13,13,12,12,13,11,8,15,6,86,1220,15,1414,17,,,15,26,15,43,31,30,32,1100,25,21,28,231,12,8,15,38,2652:1,,40157,35001,45313,,32224,54006,65,37,5,,,,,,,,2398,76,71,81,359,12,7,18,7957,22.3,22.1,144,1.8,89,1.1,61,0.8,6,0.1,2580,32.4,5050,63.5,131,2,0,3,49.7,2926,35.3
48309,Texas,McLennan,78.1,77.8,78.5,73.7,82.5,78.2,2964,389,375,404,587,285,385,137,56,47,65,89,36,58,164,7,6,8,14,5,6,12,12,12,12,12,12,10,8,13,406,202,45960,19,47389,20,67,9,237,14,12,16,32,31,33,31301,21,20,23,7205,11,9,14,70,1420:1,7,47306,44201,50411,27363,36114,57261,61,44,35,5,4,6,131,11,9,13,51140,58,57,59,13410,16,15,17,251259,24.8,14.2,35489,14.1,2867,1.1,4357,1.7,279,0.1,66431,26.4,140620,56.0,9771,4,4,5,51.2,54855,23.4
48311,Texas,McMullen,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,10,11,11,8,16,,,50,8,265,37,,,,,,,30,29,31,74,17,14,19,30,15,11,20,129,778:1,,68133,60507,75759,,73906,67813,27,,,,,,,,,,143,74,54,94,17,10,0,42,778,19.8,23.1,20,2.6,8,1.0,4,0.5,0,0.0,330,42.4,416,53.5,26,5,0,16,46.4,707,100.0
48313,Texas,Madison,76.8,75.3,78.3,76.4,83.4,75.8,198,447,384,511,552,,482,,,,,,,,,,,,,,,11,11,12,11,11,11,10,7,14,34,290,2600,19,2048,15,,,22,23,14,34,33,33,34,1709,26,23,29,417,13,10,17,28,3556:1,,42058,36871,47245,23013,57500,45195,69,49,41,,,,,,,,3069,74,69,78,507,13,9,18,14222,21.1,15.6,2806,19.7,178,1.3,105,0.7,11,0.1,3267,23.0,7810,54.9,543,4,2,6,42.6,9210,67.4
48315,Texas,Marion,72.3,70.4,74.3,69.7,,72.7,266,614,530,698,759,,595,,,,,,,,,,,,,,,12,12,12,12,12,12,14,11,19,18,204,2440,24,338,3,,,28,39,26,57,32,31,33,1138,20,17,23,190,10,7,13,40,2516:1,,36936,32425,41447,30599,65313,41383,70,31,29,14,7,26,11,22,11,39,3528,79,75,83,457,11,7,15,10064,18.6,25.3,2114,21.0,123,1.2,84,0.8,4,0.0,403,4.0,7155,71.1,94,1,0,2,51.3,10546,100.0
48317,Texas,Martin,76.0,73.6,78.5,,72.8,78.9,72,426,332,538,,525,352,,,,,,,,,,,,,,,11,11,12,11,11,11,9,6,12,,,510,9,330,7,,,,,,,31,30,32,777,24,21,27,293,16,12,20,18,5626:1,,59907,52081,67733,,62826,82368,50,,1,,,,,,,,1261,77,70,84,125,9,1,16,5626,31.1,11.6,97,1.7,76,1.4,28,0.5,5,0.1,2651,47.1,2791,49.6,206,4,1,7,49.2,4799,100.0
48319,Texas,Mason,80.3,77.7,83.0,,,,51,301,211,417,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,13,9,17,,,570,14,114,3,,,,,,,29,28,30,601,28,25,32,196,23,17,28,47,2111:1,,47213,40980,53446,,36250,43125,48,,40,,,,,,,,1185,73,68,79,201,14,6,22,4222,20.8,28.7,24,0.6,29,0.7,13,0.3,15,0.4,1072,25.4,3070,72.7,140,4,1,7,49.3,4012,100.0
48321,Texas,Matagorda,75.4,74.5,76.3,71.5,77.4,74.8,610,485,445,525,707,378,520,18,48,28,76,,,,,,,,,,,13,13,13,12,12,12,12,9,16,66,220,6330,17,6378,17,12,11,64,25,19,32,33,32,34,5217,24,21,27,1061,11,8,14,38,2631:1,,46801,40954,52648,23190,44146,54779,65,48,34,6,3,10,29,16,11,23,9359,68,65,71,1931,15,11,18,36840,25.6,16.5,3794,10.3,492,1.3,722,2.0,44,0.1,15728,42.7,16149,43.8,2042,6,4,8,49.9,13366,36.4
48323,Texas,Maverick,78.7,77.9,79.4,,78.8,77.7,548,338,309,366,,332,381,40,55,39,74,,,,34,5,3,6,,,,17,16,17,13,13,14,10,7,14,71,161,5080,9,12132,22,,,69,17,14,22,33,32,35,11340,36,33,39,2462,13,10,16,41,2426:1,13,33507,29516,37498,,36869,64432,77,55,16,,,,,,,,11170,68,66,70,1838,12,9,14,58216,31.7,11.5,155,0.3,982,1.7,429,0.7,20,0.0,55373,95.1,1607,2.8,14470,28,25,31,50.1,5022,9.3
48325,Texas,Medina,79.0,78.1,79.8,,78.9,78.6,603,345,316,373,,352,351,27,58,39,85,,60,60,26,7,5,10,,,,11,11,11,11,10,11,12,9,16,64,159,4430,9,3715,8,,,55,16,12,21,30,29,31,5500,20,17,22,1155,9,7,12,22,4551:1,,56173,50770,61576,,51675,65983,59,50,14,5,3,7,28,12,8,17,12448,82,80,85,1292,9,7,11,50066,23.4,16.3,1207,2.4,531,1.1,401,0.8,82,0.2,25970,51.9,21929,43.8,1062,2,2,3,48.3,28319,61.6
48327,Texas,Menard,75.2,70.2,80.3,,,,41,473,317,679,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,13,10,18,,,280,13,154,7,,,,,,,29,28,30,314,29,25,33,77,19,13,24,47,2124:1,,34033,29503,38563,,26023,42674,73,,,,,,,,,,643,67,60,73,44,5,0,13,2124,17.2,30.2,27,1.3,32,1.5,4,0.2,0,0.0,767,36.1,1308,61.6,110,5,1,9,50.0,2242,100.0
48329,Texas,Midland,78.7,78.2,79.2,71.8,81.2,78.5,1604,359,341,377,681,314,362,106,59,48,70,,55,64,104,6,5,7,,5,6,10,10,10,10,10,10,8,6,10,175,138,16710,11,9948,7,25,5,227,21,18,24,31,31,32,20060,20,18,22,5751,12,9,15,79,1270:1,6,76307,69501,83113,41035,63940,91650,49,46,31,4,3,6,91,11,9,14,36750,67,65,68,5434,10,9,12,165049,28.4,10.4,9704,5.9,1917,1.2,3467,2.1,187,0.1,74263,45.0,75156,45.5,8283,6,5,6,49.7,16824,12.3
48331,Texas,Milam,76.6,75.4,77.7,69.1,78.9,76.8,417,450,404,495,717,394,437,14,57,31,96,,,,,,,,,,,12,12,12,12,12,12,11,8,15,42,208,4150,17,2251,9,,,44,26,19,34,32,31,33,3191,23,21,26,701,11,8,14,64,1566:1,,44855,40009,49701,27625,31669,45718,68,33,28,,,,20,16,10,25,6444,68,65,72,862,10,7,13,25053,24.9,19.9,2202,8.8,312,1.2,261,1.0,12,0.0,6655,26.6,15539,62.0,371,2,1,2,50.9,13909,56.2
48333,Texas,Mills,79.1,76.3,81.9,,,,77,371,282,480,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,12,8,16,,,720,15,470,10,,,,,,,30,29,31,674,27,24,30,186,17,13,22,61,1640:1,,42463,36838,48088,,,,61,,,,,,,,,,1553,85,81,88,167,10,5,14,4921,21.1,27.2,40,0.8,49,1.0,20,0.4,1,0.0,916,18.6,3890,79.0,165,3,2,5,50.5,4936,100.0
48335,Texas,Mitchell,73.9,72.0,75.8,,75.3,71.2,139,520,432,608,,437,635,,,,,,,,,,,,,,,10,10,11,10,10,10,9,7,13,,,1200,13,401,4,,,14,22,12,37,32,31,32,938,24,21,27,214,12,8,15,35,2823:1,,41512,36576,46448,,46991,54636,56,20,18,,,,,,,,2005,76,70,82,124,5,0,10,8468,21.1,14.8,828,9.8,147,1.7,57,0.7,9,0.1,3342,39.5,4108,48.5,335,4,2,6,41.0,3455,36.7
48337,Texas,Montague,74.9,73.5,76.2,,81.5,74.1,364,481,428,535,,,,12,68,35,118,,,,,,,,,,,11,11,12,12,11,12,11,8,15,14,87,3480,18,1369,7,,,29,21,14,31,30,29,31,2658,25,22,28,644,14,10,18,15,6513:1,16,47590,42097,53083,,36215,47621,56,,18,,,,20,21,13,32,5784,72,69,75,773,10,7,13,19539,22.7,22.1,96,0.5,281,1.4,80,0.4,6,0.0,2207,11.3,16737,85.7,447,2,1,4,50.7,11623,58.9
48339,Texas,Montgomery,79.5,79.2,79.7,78.2,88.9,78.6,5738,313,305,321,415,191,339,253,44,38,49,47,42,45,246,5,4,6,,4,6,10,10,10,10,10,10,9,7,11,725,167,75610,15,26684,6,226,14,453,12,11,14,32,31,33,67983,20,19,22,15133,10,8,12,60,1674:1,7,77149,74101,80197,64312,50352,80823,41,38,20,3,3,4,330,12,11,14,133082,71,70,72,19854,11,10,12,570934,26.5,12.9,27725,4.9,5556,1.0,17602,3.1,660,0.1,137531,24.1,377846,66.2,22287,4,4,5,50.4,103571,22.7
48341,Texas,Moore,77.8,76.5,79.0,,82.4,75.3,228,386,336,437,,279,489,12,43,22,75,,,,22,7,5,11,,,,13,12,13,12,11,12,9,6,12,17,101,2390,11,3088,14,,,46,30,22,40,32,31,33,4087,32,29,36,1057,15,11,18,32,3157:1,,51444,46260,56628,48750,49095,59690,67,51,23,,,,12,11,6,19,4294,64,58,70,404,6,3,9,22097,32.0,10.5,738,3.3,363,1.6,1694,7.7,49,0.2,12230,55.3,7115,32.2,2891,14,12,17,48.0,3683,16.8
48343,Texas,Morris,72.9,71.1,74.7,71.1,,72.7,265,596,519,673,705,,596,10,87,42,161,,,,,,,,,,,11,11,12,12,11,12,13,10,17,15,143,3140,25,89,1,,,26,29,19,43,33,32,34,1655,24,21,27,317,11,8,14,32,3117:1,,39627,34706,44548,29421,39236,48070,75,13,16,,,,,,,,3732,74,71,78,366,8,5,11,12467,23.1,21.4,2804,22.5,161,1.3,76,0.6,14,0.1,1242,10.0,7960,63.8,204,2,1,3,52.0,10143,78.4
48345,Texas,Motley,,,,,,,30,572,354,874,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,9,17,,,180,17,115,10,,,,,,,30,29,30,172,28,24,32,42,19,13,24,81,1230:1,,36782,31978,41586,,41705,37917,74,,,,,,,,,,336,72,66,77,15,4,0,17,1230,18.5,29.9,29,2.4,27,2.2,2,0.2,0,0.0,207,16.8,975,79.3,3,0,0,6,48.7,1210,100.0
48347,Texas,Nacogdoches,77.3,76.6,78.0,75.0,101.7,76.8,803,402,373,431,552,197,411,27,44,29,64,,50,53,22,4,2,5,,,,12,12,13,13,12,13,13,11,15,101,186,14540,22,8662,13,26,13,102,22,18,27,32,31,33,9371,26,23,28,1809,11,9,14,73,1366:1,5,42367,37532,47202,23719,32219,50665,67,47,39,4,2,6,34,10,7,15,13308,56,54,58,3665,16,14,19,65580,23.4,14.2,11708,17.9,581,0.9,1005,1.5,34,0.1,12796,19.5,38932,59.4,2619,4,4,5,52.1,29978,46.5
48349,Texas,Navarro,74.9,74.1,75.7,70.2,85.3,74.3,817,486,452,521,730,229,509,26,51,33,75,,,,29,6,4,9,,,,12,12,13,12,12,12,11,8,14,86,220,8640,18,5014,11,18,12,66,20,15,25,33,32,33,7359,27,24,29,1378,10,8,13,39,2563:1,12,41944,37316,46572,23629,41116,52125,69,28,14,5,3,8,45,19,14,25,11889,69,67,71,1822,11,9,13,48701,26.2,16.8,6211,12.8,548,1.1,409,0.8,605,1.2,13318,27.3,27386,56.2,2996,7,6,8,50.9,25136,52.7
48351,Texas,Newton,75.9,74.2,77.5,75.4,,75.6,278,518,453,583,584,,515,,,,,,,,,,,,,,,12,11,12,12,11,12,12,9,16,8,67,3240,23,1751,12,,,23,23,15,35,33,32,34,1567,20,17,23,291,9,7,12,14,6976:1,,41736,36498,46974,30170,133625,44233,65,44,39,,,,20,29,17,44,3957,83,80,86,206,5,2,8,13952,20.3,20.1,2794,20.0,131,0.9,114,0.8,2,0.0,500,3.6,10180,73.0,43,0,0,1,48.2,14445,100.0
48353,Texas,Nolan,75.6,74.1,77.0,,77.8,74.5,245,481,418,544,,408,524,,,,,,,,,,,,,,,12,12,12,12,11,12,11,8,15,18,148,2240,15,1175,8,,,23,22,14,33,31,30,32,1753,21,18,24,377,9,7,12,68,1477:1,,42662,37841,47483,20245,39449,46869,64,34,28,,,,11,15,7,26,3845,69,65,73,432,8,5,11,14770,26.1,17.9,654,4.4,179,1.2,129,0.9,12,0.1,5596,37.9,8150,55.2,450,3,2,5,50.2,4969,32.7
